piezometer_id,cluster_id,window_months,valid_months,drought_months,drought_fraction,N_events,mean_duration,max_duration,mean_severity_signed,mean_severity_deficit,mean_intensity,minimum_sgi,CRT,CRS,VUL,median_recovery_months,recovered_events,unrecovered_events,propagation_probability_3_to_12
II/1065/1,3,3,347,57,0.1642651296829971,7,8.142857142857142,19,-12.069329674460306,12.069329674460306,-1.3788470955755536,-2.128045234184984,0.8357348703170029,0.12280701754385964,31.34061578710711,11.0,5,2,0.7142857142857143
II/1065/1,3,6,335,54,0.16119402985074627,6,9.0,29,-13.411016641259051,13.411016641259051,-1.2833887381905411,-2.128045234184984,0.8388059701492537,0.09433962264150944,45.54268918105811,12.0,4,2,
II/1065/1,3,12,313,48,0.15335463258785942,3,16.0,31,-24.238097684060406,24.238097684060406,-1.361507459402551,-2.085355566031829,0.8466453674121406,0.0425531914893617,49.46457373126692,,0,3,
II/1271/1,1,3,220,36,0.16363636363636364,9,4.0,15,-5.879415285038371,5.879415285038371,-1.3937260548062798,-1.9599639845400545,0.8363636363636364,0.18181818181818182,20.57899929178561,4.5,2,7,0.6666666666666666
II/1271/1,1,6,210,36,0.17142857142857143,7,5.142857142857143,15,-7.428419512824575,7.428419512824575,-1.2895053020651386,-1.9379315108528288,0.8285714285714285,0.12121212121212122,21.32853950962568,10.0,2,5,
II/1271/1,1,12,194,36,0.18556701030927836,4,9.0,16,-12.622004134050957,12.622004134050957,-1.2611977074918492,-1.88950996033343,0.8144329896907216,0.058823529411764705,25.042360389490447,10.5,2,2,
II/1272/1,1,3,194,36,0.18556701030927836,5,7.2,11,-10.086682384920323,10.086682384920323,-1.3615218065538766,-1.88950996033343,0.8144329896907216,0.11428571428571428,18.116289046725523,8.5,4,1,1.0
II/1272/1,1,6,191,35,0.18324607329842932,4,8.75,12,-12.303382118770749,12.303382118770749,-1.4257587850103068,-1.8627318674216515,0.8167539267015707,0.08823529411764706,19.529039840873715,10.0,3,1,
II/1272/1,1,12,185,29,0.15675675675675677,4,7.25,11,-10.690482019849364,10.690482019849364,-1.3619411846859693,-1.8627318674216515,0.8432432432432433,0.10714285714285714,19.212421011461117,8.0,3,1,
II/1272/2,2,3,208,36,0.17307692307692307,6,6.0,12,-8.642341371126053,8.642341371126053,-1.426446270836452,-1.9145058250555573,0.8269230769230769,0.16666666666666666,16.9986759684539,11.0,6,0,1.0
II/1272/2,2,6,205,36,0.17560975609756097,4,9.0,17,-12.89415111018541,12.89415111018541,-1.362430906443275,-1.9145058250555573,0.8243902439024391,0.1111111111111111,26.367542727447624,10.0,4,0,
II/1272/2,2,12,199,36,0.18090452261306533,4,9.0,25,-12.746517464367571,12.746517464367571,-1.2155947347593863,-1.88950996033343,0.8190954773869347,0.1111111111111111,38.112126755343304,33.5,4,0,
II/1273/1,1,3,227,36,0.15859030837004406,9,4.0,16,-5.94536430602388,5.94536430602388,-1.3129065614743107,-1.9599639845400545,0.8414096916299559,0.22857142857142856,27.405872689318453,6.5,8,1,0.7777777777777778
II/1273/1,1,6,215,36,0.16744186046511628,7,5.142857142857143,18,-7.492043014605765,7.492043014605765,-1.2860489939059998,-1.9599639845400545,0.8325581395348838,0.17142857142857143,30.1758340155471,7.0,5,2,
II/1273/1,1,12,196,36,0.1836734693877551,5,7.2,20,-10.137447572942083,10.137447572942083,-1.2418222894793094,-1.88950996033343,0.8163265306122449,0.11428571428571428,32.69596123108128,12.5,4,1,
II/1274/1,1,3,221,36,0.16289592760180996,7,5.142857142857143,11,-7.57324343898655,7.57324343898655,-1.3642650220190313,-1.9379315108528288,0.8371040723981901,0.19444444444444445,20.62438252900384,10.5,4,3,0.5714285714285714
II/1274/1,1,6,215,36,0.16744186046511628,6,6.0,13,-8.746083742520897,8.746083742520897,-1.2673382552413195,-1.9379315108528288,0.8325581395348838,0.16666666666666666,24.061751701307692,13.0,3,3,
II/1274/1,1,12,203,36,0.17733990147783252,2,18.0,18,-25.692256257241723,25.692256257241723,-1.4273475698467624,-1.88950996033343,0.8226600985221675,0.05555555555555555,30.421292686079532,18.0,2,0,
II/1274/2,1,3,144,24,0.16666666666666666,2,12.0,17,-17.292082658989518,17.292082658989518,-1.3555193859335035,-1.731664396122245,0.8333333333333334,0.08333333333333333,26.53171965534698,14.0,2,0,1.0
II/1274/2,1,6,141,24,0.1702127659574468,2,12.0,17,-17.150199781759756,17.150199781759756,-1.3404238614390014,-1.731664396122245,0.8297872340425532,0.08333333333333333,26.408591355734938,12.5,2,0,
II/1274/2,1,12,135,24,0.17777777777777778,2,12.0,17,-16.86643402730023,16.86643402730023,-1.3169822853427484,-1.731664396122245,0.8222222222222222,0.08333333333333333,26.00169730166337,8.0,1,1,
II/1275/1,2,3,224,36,0.16071428571428573,9,4.0,8,-5.920435467500472,5.920435467500472,-1.3929997467032966,-1.9379315108528288,0.8392857142857143,0.25,11.649196498112094,5.0,9,0,0.6666666666666666
II/1275/1,2,6,221,36,0.16289592760180996,5,7.2,12,-10.605032275147687,10.605032275147687,-1.5065735740406312,-1.9379315108528288,0.8371040723981901,0.1388888888888889,15.409749343633544,8.0,5,0,
II/1275/1,2,12,215,36,0.16744186046511628,4,9.0,14,-13.12535426519764,13.12535426519764,-1.334147023200507,-1.9145058250555573,0.8325581395348838,0.1111111111111111,25.417393071121957,11.5,4,0,
II/1276/1,1,3,224,36,0.16071428571428573,3,12.0,24,-17.761306402501415,17.761306402501415,-1.4458657223255944,-1.9379315108528288,0.8392857142857143,0.08333333333333333,30.94141695024965,11.0,1,2,1.0
II/1276/1,1,6,221,36,0.16289592760180996,3,12.0,14,-17.675053791912813,17.675053791912813,-1.4181508554509128,-1.9379315108528288,0.8371040723981901,0.05714285714285714,25.91557348746537,13.0,1,2,
II/1276/1,1,12,215,36,0.16744186046511628,3,12.0,20,-17.50047235359685,17.50047235359685,-1.32198117386591,-1.9145058250555573,0.8325581395348838,0.05714285714285714,33.981735165579686,15.0,1,2,
II/1285/1,1,3,120,24,0.2,1,24.0,24,-32.175444197343154,32.175444197343154,-1.3406435082226313,-1.6448536269514729,0.8,0.0,32.175444197343154,,0,1,1.0
II/1285/1,1,6,117,21,0.1794871794871795,1,21.0,21,-28.91123960207652,28.91123960207652,-1.376725695336977,-1.6448536269514729,0.8205128205128205,0.0,28.91123960207652,,0,1,
II/1285/1,1,12,111,15,0.13513513513513514,1,15.0,15,-22.382830411543246,22.382830411543246,-1.492188694102883,-1.6448536269514729,0.8648648648648649,0.0,22.382830411543246,,0,1,
II/521/1,2,3,436,72,0.1651376146788991,16,4.5,12,-6.683930103102614,6.683930103102614,-1.3873887211899691,-2.221519588337837,0.8348623853211009,0.2112676056338028,18.830140122388478,7.0,15,1,0.75
II/521/1,2,6,418,67,0.16028708133971292,11,6.090909090909091,18,-9.116176354246038,9.116176354246038,-1.345406025723179,-2.2004105812100323,0.8397129186602871,0.15151515151515152,29.67736767814105,7.0,10,1,
II/521/1,2,12,382,60,0.15706806282722513,7,8.571428571428571,16,-12.927033494929402,12.927033494929402,-1.3684343367025418,-2.166106752892329,0.8429319371727748,0.11666666666666667,29.796117565251897,8.5,6,1,
II/527/1,2,3,456,72,0.15789473684210525,4,18.0,29,-27.110571582989056,27.110571582989056,-1.4625776001008117,-2.2316058352609236,0.8421052631578947,0.05555555555555555,42.74748809913277,13.0,4,0,0.75
II/527/1,2,6,447,72,0.1610738255033557,3,24.0,28,-35.963381706413855,35.963381706413855,-1.4984051580028683,-2.2316058352609236,0.8389261744966443,0.041666666666666664,41.10167932916057,11.0,1,2,
II/527/1,2,12,429,72,0.16783216783216784,3,24.0,27,-35.44752987696402,35.44752987696402,-1.473155450104931,-2.2004105812100323,0.8321678321678322,0.028169014084507043,40.50856325371097,17.0,1,2,
II/797/1,3,3,401,60,0.14962593516209477,2,30.0,56,-46.00225974275616,46.00225974275616,-1.323982793815169,-2.1779230690821847,0.8503740648379052,0.01694915254237288,87.67516922229797,,0,2,1.0
II/797/1,3,6,395,60,0.1518987341772152,2,30.0,54,-45.76522433639325,45.76522433639325,-1.3263999619511107,-2.1779230690821847,0.8481012658227848,0.01694915254237288,85.06535527054483,,0,2,
II/797/1,3,12,383,60,0.1566579634464752,3,20.0,52,-30.192043948010923,30.192043948010923,-1.2404813642054628,-2.1538746940614564,0.8433420365535248,0.03389830508474576,81.97610864626442,,0,3,
II/906/1,1,3,213,35,0.1643192488262911,10,3.5,12,-5.124015236643381,5.124015236643381,-1.2823048505587413,-1.9145058250555573,0.8356807511737089,0.2857142857142857,20.77303551468063,4.5,10,0,0.7
II/906/1,1,6,210,36,0.17142857142857143,6,6.0,14,-8.673168458461017,8.673168458461017,-1.2625746770498638,-1.9145058250555573,0.8285714285714285,0.16666666666666666,22.245910951143724,8.0,6,0,
II/906/1,1,12,204,36,0.17647058823529413,3,12.0,15,-17.161374392912247,17.161374392912247,-1.4135576265273997,-1.88950996033343,0.8235294117647058,0.08333333333333333,25.04846911905423,10.0,3,0,
II/908/1,1,3,166,24,0.14457831325301204,2,12.0,12,-18.190254153738188,18.190254153738188,-1.5158545128115155,-1.8027430907391904,0.8554216867469879,0.08333333333333333,18.199823191054097,8.0,1,1,1.0
II/908/1,1,6,163,24,0.147239263803681,2,12.0,12,-18.074146441102865,18.074146441102865,-1.5061788700919054,-1.8027430907391904,0.852760736196319,0.043478260869565216,19.210252594868475,7.0,1,1,
II/908/1,1,12,157,24,0.15286624203821655,2,12.0,12,-17.841931015832227,17.841931015832227,-1.4868275846526857,-1.8027430907391904,0.8471337579617835,0.043478260869565216,20.1189278420214,9.0,1,1,
II/908/2,1,3,213,36,0.16901408450704225,5,7.2,15,-10.463290907356154,10.463290907356154,-1.313430156409934,-1.9145058250555573,0.8309859154929577,0.1388888888888889,22.625828091416555,8.0,5,0,1.0
II/908/2,1,6,210,36,0.17142857142857143,6,6.0,15,-8.673168458461015,8.673168458461015,-1.2492713241119342,-1.9145058250555573,0.8285714285714285,0.16666666666666666,23.869043579623245,7.5,6,0,
II/908/2,1,12,204,36,0.17647058823529413,4,9.0,13,-12.871030794684186,12.871030794684186,-1.3691360965097106,-1.88950996033343,0.8235294117647058,0.1111111111111111,23.723250921965136,14.0,4,0,
